job_title,description,category,skills,experience_level

Software Engineer,IT,"Build scalable software applications","python, java, apis, system design",mid
Data Scientist,IT,"Analyze data and build ML models","python, sql, machine learning, pandas",mid
DevOps Engineer,IT,"Manage cloud infrastructure and CI/CD pipelines","aws, docker, kubernetes, linux",senior

Financial Analyst,Finance,"Analyze financial reports and market trends","excel, accounting, finance, sql",junior
Investment Banker,Finance,"Handle investments and financial modeling","finance, valuation, excel, analytics",senior
Accountant,Finance,"Manage financial records and auditing","accounting, excel, taxation",junior

Doctor,Healthcare,"Diagnose and treat patients","medicine, biology, diagnosis",senior
Data Analyst,Healthcare,"Analyze healthcare data and reports","sql, python, data analysis",mid
Pharmacist,Healthcare,"Manage and dispense medicines","pharmacy, chemistry",mid

Marketing Manager,Business,"Manage marketing campaigns and branding","seo, social media, communication",senior
Business Analyst,Business,"Analyze business requirements","excel, sql, reporting, analysis",mid
Sales Executive,Business,"Handle client sales and relations","communication, negotiation",junior

HR Manager,HR,"Manage recruitment and employee relations","communication, hiring, leadership",senior
Recruiter,HR,"Hire and screen candidates","communication, interviewing",junior

Teacher,Education,"Teach students and prepare curriculum","communication, teaching, subject knowledge",mid
Professor,Education,"Conduct research and teach university students","research, teaching, phd",senior

Civil Engineer,Engineering,"Design and construct infrastructure","autocad, design, structural engineering",mid
Mechanical Engineer,Engineering,"Design mechanical systems","mechanics, cad, design",mid

Chemical Engineer,Engineering,"Design chemical processes in industries like pharma, oil and manufacturing","chemistry, process engineering, thermodynamics, safety",mid
Chartered Accountant (CA),Finance,"Handle auditing, taxation, financial reporting and compliance","accounting, taxation, auditing, finance, excel",senior
Pharmaceutical Scientist,Healthcare,"Develop and test drugs and chemical formulations","chemistry, biology, lab research, pharma",senior
Petroleum Engineer,Engineering,"Work on oil and gas extraction systems","geology, drilling, thermodynamics, engineering",senior
Clinical Researcher,Healthcare,"Conduct clinical trials and medical research","biology, research, statistics, clinical trials",mid
